ID,Question,PoCScope,Company,Prompt,Expected Answer,watsonx Response
1,what is Name and trading name of the organization?,,,,,
2,What is the registered address of the company?,X,BP P.L.C,From below text find the registered address of the company #?,"1 St James's Square, London, SW1Y 4PD","1 St James's Square, London, SW1Y 4PD"
3,What is the business/trading address of the company?,,,,,
4,What is identification number of the organization?,X,BP P.L.C,from below text find  identification number of the organization #? ,102498,102498
5,Who are the key controllers and authorized signatories?,,,,,
6,Names all the active directors of the company.,X,BP P.L.C,"from below text, find the names of active directors of the company # in sequence ?","LUND, Helge BLANC, Amanda Jayne DALEY, Pamela","LUND, Helge BLANC, Amanda Jayne DALEY, Pamela"
7,"What is the status of the organization ex; active, dissolved?",X,BP P.L.C,"from below text, what is the status of the organization # ?",Active,Active
8,What is the year of incorporation?,X,BP P.L.C,"from below text, What is the year of incorporation of #?",1909,1909
9,Who are the shareholders of the company along with the percentage of ownership?,,,,,
10,Who is the ultimate owner of the company?,,,,,
11,Who are the key controllers and authorized signatories?,,,,,
12,What is the industry type/SIC/NICS code of the company?,,,,,
13,What are the products utilized by the company?,,,,,
14,What is/are operation location/s or jurisdiction/s?,,,,,
15,Number of employees of the firm,,,,,
16,Name of the subsidiary of the company,,,,,
17,What is the Legal entity Type of the organization ex; publicly traded/limited liability etc.,,,,,
18,What is the turnover or revenue of the organization?,,,,,
19,Certificate/licence issued by the government.,,,,,
20,Whats is the next date of confirmation statement?,X,BP P.L.C,"from below text, find the next date of confirmation statement for company #?",30/06/24,30/06/24
